Angle (degrees),a,b,c,d,,,,
29.6153545154161,0.032880642200124,0.869362528360122,0.493079768041443,0.806800934100145,,角度差,重み差,
29.6080508872518,0.034872091485668,0.869425514932057,0.492831828538441,0.806697024727585,,0.00730362816428,-6.2986571935042E-05,
29.5252480699265,0.03318770225672,0.870138619116587,0.491688275171168,0.805509337876997,,0.082802817325355,-0.00071310418453,
29.6204517425418,0.034055970023699,0.869318561445923,0.493077508746177,0.804643095868474,,-0.095203672615341,0.000820057670664,
29.3666862138256,0.028356211904066,0.871499092588998,0.489576609799738,0.805170377793403,,0.253765528716187,-0.002180531143075,
29.3189603116119,0.028974361929363,0.871907278311031,0.488813036220431,0.805875806099725,,0.047725902213742,-0.000408185722033,
29.060677058868,0.030708360934657,0.874105796390267,0.484763914999502,0.802386813694254,,0.258283252743905,-0.002198518079236,
29.3635206274678,0.032202398113579,0.871526185652774,0.489290418133506,0.801194753986935,,-0.30284356859984,0.002579610737493,
29.8133152782784,0.024070325387754,0.867649935451275,0.49659259856257,0.808636934278358,,-0.449794650810585,0.003876250201499,
30.5056990637586,0.027912047349328,0.861578672644228,0.506856102318378,0.810684677089973,,-0.692383785480189,0.006071262807046,
30.3390510615921,0.021536467470902,0.863051479402412,0.504656640172486,0.809823187433127,,0.166648002166472,-0.001472806758184,
29.8046448685846,0.018504252737872,0.867725161708091,0.49669974468413,0.808933121950288,,0.534406193007531,-0.004673682305679,
29.8204497019326,0.010882957263545,0.867588020823911,0.497164547573586,0.816659489969644,,-0.015804833348025,0.00013714088418,
29.960788301564,0.017931520382223,0.866367387570493,0.499085173423396,0.830696977655846,,-0.140338599631406,0.001220633253418,スロープが見えたとき
31.3330280265,0.004923675304512,0.854159212531263,0.519988266280565,0.838138724282213,,-1.37223972493601,0.01220817503923,
31.8776126665049,-0.00012652911076,0.849178100943637,0.528106558251402,0.841497840194855,,-0.544584640004853,0.004981111587626,
33.6903649883556,0.005102213060068,0.832047414490809,0.554681050209081,0.831451895482591,,-1.81275232185075,0.017130686452828,
33.3373987332554,-0.011693552661602,0.835448819112358,0.549443838321914,0.823923404778488,,0.352966255100249,-0.003401404621548,
31.8122320576817,0.002216567266155,0.849780173994983,0.527132566547175,0.817278057968732,,1.52516667557362,-0.014331354882625,
30.3339047654411,0.004146314727315,0.863096845342565,0.50502142888584,0.813698996456117,,1.4783272922406,-0.013316671347582,
32.6625941507146,0.00800968337954,0.841863301304346,0.539631380563721,0.805363732598955,,-2.32868938527341,0.021233544038219,
32.7139885257495,0.003117860423763,0.841378859444141,0.540436762097893,0.799769187116803,,-0.051394375034974,0.000484441860205,
29.2591797243213,0.004278426970802,0.872417710731917,0.488742297191411,0.804765682300881,,3.45480880142825,-0.031038851287776,
30.7510676118657,0.012232684731915,0.859396884253227,0.511162749777499,0.80345115080938,,-1.49188788754445,0.01302082647869,
29.5631237570841,0.013373978671375,0.869812656235971,0.493200851323497,0.812670197826961,,1.1879438547816,-0.010415771982744,
29.5016516499052,0.021464340957304,0.870341500617789,0.491980644303863,0.811730200296641,,0.061472107178958,-0.000528844381818,
32.94557077133,0.022982902314458,0.839187579777442,0.543356229511067,0.840971923725896,,-3.4439191214248,0.031153920840347,
32.5294847183981,0.01784435461975,0.843114836864194,0.537437392509739,0.842282272994262,,0.41608605293191,-0.003927257086752,
32.1987933654386,0.010814211531244,0.846204388178919,0.532748708356668,0.840154938416203,,0.330691352959512,-0.003089551314725,
32.1880561296523,0.015763603494629,0.846304231056385,0.532466578576463,0.845584646137336,,0.010737235786301,-9.98428774657834E-05,
31.6232001499691,0.009897439676535,0.851514692473416,0.524237321439206,0.844408830101384,,0.564855979683134,-0.005210461417031,
32.1154730678705,0.008908336242286,0.846978383129467,0.531552687940517,0.84197349294773,,-0.492272917901342,0.004536309343949,
32.9796922704282,0.000976484375473,0.838863555348788,0.544340869295935,0.837586356902224,,-0.864219202557699,0.008114827780678,
,,,,,,,,
,,,,,最大値,3.45480880142825,0.031153920840347,
